122024;340828;;Being the very last to take action gives them//a crushing sense of pressure that hinders accuracy.;Essere gli ultimi ad agire provoca loro un senso di pressione schiacciante che ostacola la precisione.
106020;340927;;Ben;Ben
121544;340931;;Bending over to crouch puts a strain on their weak back,//causing a drop in defense.;Chinarsi per accovacciarsi mette a dura prova la loro debole schiena, causando un calo della difesa.
119384;341016;;Bent on protecting the camp by sheer force of will,//they naturally become better at evading attacks.;Determinati a proteggere l'accampamento con la sola forza di volont=, diventano naturalmente piu' abili nello schivare gli attacchi.
95284;341118;;Berthold;Bertoldo
91208;341127;;Bielert;Bielert
98888;341127;;Bielert;Bielert
126772;341135;;Big Sister;Sorella maggiore
126964;341146;;Big-Hearted;Dal cuore grande
106024;341158;;Bill;Conto
128868;341163;;Blast;Raffica
101412;341169;;Blast Suit AD-1;Tuta antideflagrante AD-1
102324;341185;;Blast Suit AD-10;Tuta antideflagrante AD-10
101940;341202;;Blast Suit AD-2;Tuta antideflagrante AD-2
101988;341218;;Blast Suit AD-3;Tuta antideflagrante AD-3
102036;341234;;Blast Suit AD-4;Tuta antideflagrante AD-4
102084;341250;;Blast Suit AD-5;Tuta antideflagrante AD-5
103524;341250;;Blast Suit AD-5;Tuta antideflagrante AD-5
102132;341266;;Blast Suit AD-6;Tuta antideflagrante AD-6
102180;341282;;Blast Suit AD-7;Tuta antideflagrante AD-7
102228;341298;;Blast Suit AD-8;Tuta antideflagrante AD-8
102276;341314;;Blast Suit AD-9;Tuta antideflagrante AD-9
102372;341330;;Blast Suit AD-F;Tuta antideflagrante AD-F
50956;341346;;Bles;Benedizioni
51500;341346;;Bles;Benedizioni
89036;341346;;Bles;Benedizioni
92088;341346;;Bles;Benedizioni
92168;341346;;Bles;Benedizioni
92248;341346;;Bles;Benedizioni
122836;341351;;Bloodthirsty;Sanguinario
128884;341364;;Body Def;Definizione del corpo
128916;341373;;Body HP;Potenza del corpo
97928;341381;;Bohr;Bohr
114036;341386;;Bomb;Bomba
119476;341391;;Born Leader;Leader nato
123128;341403;;Born under an unlucky star, they are especially//susceptible to weapon jamming.;Nati sotto una sfortunata stella, sono particolarmente soggetti all'inceppamento delle armi.
124136;341483;;Both accuracy and evasion receive a boost when HP//drops to a single digit.;Sia la precisione che la schivata vengono potenziate quando i PV scendono a una sola cifra.
126056;341559;;Both evasion and attack power are enhanced when//firing up at an elevated target.;Sia la schivata che la potenza di attacco risultano potenziate quando si spara a un bersaglio elevato.
114084;341641;;Bridge;Ponte
89764;341648;;Brigitte;Brigitte
89784;341648;;Brigitte;Brigitte
92884;341648;;Brigitte;Brigitte
191028;341657;;Brondel M1;M1 di Brondel
191796;341668;;Brondel M10;M10 di Brondel
196148;341680;;Brondel M101X;Brondel M101X
196404;341694;;Brondel M102X;Brondel M102X
196660;341708;;Brondel M103X;Brondel M103X
192052;341722;;Brondel M11;M11 di Brondel
196916;341734;;Brondel M110X;Brondel M110X
197172;341748;;Brondel M111X;Brondel M111X
197428;341762;;Brondel M112X;Brondel M112X
192308;341776;;Brondel M12;M12 di Brondel
197684;341788;;Brondel M120X;Brondel M120X
191284;341802;;Brondel M2;M2 di Brondel
192564;341813;;Brondel M20;M20 del Brondel
191540;341825;;Brondel M3;M3 di Brondel
94964;341836;;Bruhl Girl;Ragazza di Brühl
94972;341836;;Bruhl Girl;Ragazza di Brühl
94976;341836;;Bruhl Girl;Ragazza di Brühl
94980;341836;;Bruhl Girl;Ragazza di Brühl
86872;341847;;Bruhl_Guard_1;Guardia_Bruhl_1
87416;341847;;Bruhl_Guard_1;Guardia_Bruhl_1
119188;341861;;Bug in a Rug;Insetto in un tappeto
135556;341874;;Bulletproof Visor;Visiera antiproiettile
135560;341874;;Bulletproof Visor;Visiera antiproiettile
122644;341892;;Bully;Bullo
112836;341898;;Bunker;Bunker
159400;341905;;CAMEL;CAMMELLO
169384;341905;;CAMEL;CAMMELLO
169592;341905;;CAMEL;CAMMELLO
169800;341905;;CAMEL;CAMMELLO
91048;341911;;Caird;Cairdo
98504;341917;;Callos;Calli
126484;341924;;Calm Heart;Cuore calmo
98088;341935;;Calvey;Calvizia
119764;341942;;Camaraderie;Cameratismo
113124;341954;;Camp;Campo
119380;341959;;Camp Defender;Difensore del campo
106228;341973;;Campbell;Campanello
167288;341982;;Cannon Bunker;Bunker dei cannoni
167292;341982;;Cannon Bunker;Bunker dei cannoni
170408;341982;;Cannon Bunker;Bunker dei cannoni
170412;341982;;Cannon Bunker;Bunker dei cannoni
166680;341996;;CannonSet1;Set di cannoni1
134020;342007;;Carbon-Coat Leaf;Foglia di rivestimento in carbonio
134024;342007;;Carbon-Coat Leaf;Foglia di rivestimento in carbonio
139652;342007;;Carbon-Coat Leaf;Foglia di rivestimento in carbonio
139656;342007;;Carbon-Coat Leaf;Foglia di rivestimento in carbonio
135044;342024;;Carbon-Coat Plate;Piastra di rivestimento in carbonio
135048;342024;;Carbon-Coat Plate;Piastra di rivestimento in carbonio
140036;342024;;Carbon-Coat Plate;Piastra di rivestimento in carbonio
140040;342024;;Carbon-Coat Plate;Piastra di rivestimento in carbonio
131460;342042;;Carbon-Coat Steel;Acciaio rivestito in carbonio
131464;342042;;Carbon-Coat Steel;Acciaio rivestito in carbonio
137476;342042;;Carbon-Coat Steel;Acciaio rivestito in carbonio
137480;342042;;Carbon-Coat Steel;Acciaio rivestito in carbonio
106232;342060;;Carpenter;Falegname
125960;342070;;Cat-like reflexes allow them to consistently dodge//enemy counterattacks.;I riflessi felini consentono loro di schivare costantemente i contrattacchi nemici.
99044;342144;;Catherine;Catherine
99052;342144;;Catherine;Catherine
99056;342144;;Catherine;Catherine
114916;342154;;Caution;Attenzione
98964;342162;;Cezary;Cezary
98972;342162;;Cezary;Cezary
98976;342162;;Cezary;Cezary
98984;342162;;Cezary;Cezary
122356;342169;;Challenge Lover;Amante delle sfide
121396;342185;;Chameleon;Camaleonte
122360;342195;;Charging into the face of enemy fire creates a rush//of adrenalin that enhances attack power.;Caricare in faccia al fuoco nemico crea una scarica di adrenalina che aumenta la potenza d'attacco.
122408;342289;;Charging into the face of enemy fire makes them panic,//decreasing attack power.;Caricare in faccia al fuoco nemico li fa andare nel panico, riducendone la potenza d'attacco.
120868;342370;;Chatty Cathy;Cathy la chiacchierona
97684;342383;;Cherry;Ciliegia
97692;342383;;Cherry;Ciliegia
97696;342383;;Cherry;Ciliegia
97704;342383;;Cherry;Ciliegia
96488;342390;;Cheslock;Blocco di Ches
118564;342399;;Child of Nature;Figlio della natura
101304;342415;;Child_Isara;Bambino_Isara
106092;342427;;Chris;Cristo
123028;342433;;Chronic Fatigue;Stanchezza cronica
118516;342449;;City Kid;Ragazzo di citt=
98804;342458;;Claudia;Claudia
98812;342458;;Claudia;Claudia
98816;342458;;Claudia;Claudia
98824;342458;;Claudia;Claudia
119236;342466;;Claustrophobic;Claustrofobico
98648;342481;;Clement;Clemente
195888;342489;;Clip Size Up 10;Taglia clip su 10
194608;342505;;Clip Size Up 5;Taglia clip su 5
194864;342520;;Clip Size Up 6;Taglia clip su 6
195120;342535;;Clip Size Up 7;Taglia clip in su 7
195376;342550;;Clip Size Up 8;Taglia clip in su 8
195632;342565;;Clip Size Up 9;Taglia clip 9
91044;342580;;Coby;Cobita
91052;342580;;Coby;Cobita
91056;342580;;Coby;Cobita
121636;342585;;Cocky;Impertinente
133636;342591;;Coil Spring;Molla elicoidale
133640;342591;;Coil Spring;Molla elicoidale
106032;342603;;Collin;Collino
101364;342610;;Combat Suit BD-1;Tuta da combattimento BD-1
101844;342627;;Combat Suit BD-10;Tuta da combattimento BD-10
101460;342645;;Combat Suit BD-2;Tuta da combattimento BD-2
101508;342662;;Combat Suit BD-3;Tuta da combattimento BD-3
101556;342679;;Combat Suit BD-4;Tuta da combattimento BD-4
101604;342696;;Combat Suit BD-5;Tuta da combattimento BD-5
103476;342696;;Combat Suit BD-5;Tuta da combattimento BD-5
101652;342713;;Combat Suit BD-6;Tuta da combattimento BD-6
101700;342730;;Combat Suit BD-7;Tuta da combattimento BD-7
101748;342747;;Combat Suit BD-8;Tuta da combattimento BD-8
101796;342764;;Combat Suit BD-9;Tuta da combattimento BD-9
101892;342781;;Combat Suit BD-F;Tuta da combattimento BD-F
115012;342798;;Concentrate Fire;Concentrare il fuoco
123796;342815;;Concentration;Concentrazione
120344;342829;;Confidence that they can best any engineer grants//a boost in attack abilities.;La fiducia di poter sconfiggere qualsiasi ingegnere garantisce un potenziamento delle capacit= di attacco.
120248;342909;;Confidence that they can best any lancer grants//a boost in attack abilities.;La sicurezza di poter avere la meglio su qualsiasi lanciere garantisce un potenziamento delle capacit= di attacco.
120056;342987;;Confidence that they can best any scout grants//a boost in attack abilities.;La sicurezza di poter sconfiggere qualsiasi esploratore garantisce un potenziamento delle capacit= di attacco.
120152;343064;;Confidence that they can best any shocktrooper//grants a boost in attack abilities.;La sicurezza di poter avere la meglio su qualsiasi soldato d'assalto garantisce un potenziamento delle capacit= di attacco.
